link,name,Актеры,Время,Год,Жанр,Режиссер,Слоган,Страна
['https://go.utorr.cc/melodrama/5195-led-3-2024.html'],Лед 3,"Александр Петров,  Мария Аронова,  Анна Савранская,  Степан Белозеров,  Сергей Лавыгин,  Сергей Беляев,  Василий Копейкин,  Елена Николаева,  Виталия Корниенко,  Вероника Жилина",,2024,мелодрама,Юрий Хмельницкий,,Россия
['https://go.utorr.cc/serial/5194-fallout-serial-2024.html'],Фоллаут (сериал),"Элла Пернелл,  Аарон Мотен,  Уолтон Гоггинс,  Мойзес Ариас,  Лесли Аггамс,  Зак Черри,  Dave Register,  Annabel O'Hagan,  Род Луцци,  Сарита Чоудри",,2024,"фантастика,  боевик,  драма,  приключения","Джонатан Нолан,  Клер Килнер,  Фред Туа",,США
['https://go.utorr.cc/triller/5193-spyaschie-psy-2024.html'],Спящие псы,"Рассел Кроу,  Карен Гиллан,  Мартон Чокаш,  Томми Флэнаган,  Томас М. Райт,  Гарри Гринвуд,  Пачаро Мзембе,  Линн Гилмартин,  Паула Арунделл,  Элизабет Блэкмор",,2024,"детектив,  триллер,  криминал",Адам Купер,«В мире алчности и лжи все под подозрением»,"Австралия,  США"
['https://go.utorr.cc/drama/5192-pozyvnoy-passazhir-2024.html'],Позывной «Пассажир»,"Антон Шагин,  Виталий Кищенко,  Сергей Горобченко,  Алексей Шевченков,  Александр Михайлов,  Надежда Маркина,  Сослан Фидаров,  Никита Тезин,  Алексей Дмитриев,  Вадим Радченко",,2024,драма,Илья Казанков,,Россия
['https://go.utorr.cc/serial/5191-zadacha-treh-tel-serial-2024.html'],Задача трех тел (сериал),"Джесс Хун,  Бенедикт Вонг,  Эйса Гонсалес,  Лиам Каннингэм,  Цэн Цзинэ,  Алекс Шарп,  Джон Брэдли,  Розалинд Чао,  Джован Адепо,  Джонатан Прайс",,2024,"фантастика,  триллер,  драма,  детектив","Дерек Цан,  Минки Спиро,  Джереми Подесва",,"Великобритания,  США,  Китай"
['https://go.utorr.cc/fantastika/5189-dyuna-chast-vtoraya-2024.html'],Дюна: Часть вторая,"Тимоти Шаламе,  Зендея,  Ребекка Фергюсон,  Хавьер Бардем,  Джош Бролин,  Остин Батлер,  Флоренс Пью,  Дэйв Батиста,  Кристофер Уокен,  Леа Сейду",,2024,"фантастика,  боевик,  драма,  приключения",Дени Вильнёв,,"США,  Канада,  ОАЭ,  Венгрия,  Италия,  Новая Зеландия,  Иордания,  Гамбия"
['https://go.utorr.cc/uzhas/5186-nechist-2023.html'],Нечисть,"Фрейя Аллан,  Джереми Ирвин,  Руби Баркер,  Питер Муллан,  Нед Деннехи,  Энн Мюллер,  Свенья Юнг,  Юлика Йенкинс,  Саффрон Берроуз,  Феликс Ромер",,2023,ужасы,Альберто Корредор,«Поговори с мёртвыми. Заплати цену»,Великобритания
['https://go.utorr.cc/drama/5183-vozduh-2023.html'],Воздух,"Анастасия Талызина,  Аглая Тарасова,  Кристина Лапшина,  Сергей Безруков,  Елена Лядова,  Олег Гринченко,  Антон Шагин,  Кристина Исайкина-Бергер,  Игорь Митюшкин,  Игорь Коровин",,2023,"военный,  драма,  история",Алексей Герман мл,,Россия
['https://go.utorr.cc/mult/5182-kung-fu-panda-4-2024.html'],Кунг-фу Панда 4,"Джек Блэк,  Аквафина,  Виола Дэвис,  Дастин Хоффман,  Брайан Крэнстон,  Джеймс Хун,  Иэн Макшейн,  Ке Хюи Куан,  Ронни Чиэн,  Лори Тань Чинн",,2024,"мультфильм,  фэнтези,  боевик,  комедия,  приключения,  семейный","Майк Митчелл,  Стефани Стайн",,"США,  Китай"
['https://go.utorr.cc/boevik/5181-tri-mushketera-miledi-2023.html'],Три мушкетера: Миледи,"Франсуа Сивиль,  Венсан Кассель,  Ромен Дюрис,  Пио Мармай,  Ева Грин,  Луи Гаррель,  Вики Крипс,  Лина Кудри,  Джейкоб Форчун-Ллойд,  Эрик Руф",,2023,"боевик,  приключения,  история",Мартен Бурбулон,,"Франция,  Германия,  Испания,  Бельгия"
['https://go.utorr.cc/fantasy/5179-bremenskie-muzykanty-2023.html'],Бременские музыканты,"Тихон Жизневский,  Валентина Ляпина,  Роман Курцын,  Аскар Нигамедзянов,  Ирина Горбачёва,  Дмитрий Дюжев,  Сергей Бурунов,  Мария Аронова,  Константин Хабенский,  Юлия Пересильд",,2023,"приключения,  семейный,  фэнтези,  комедия",Алексей Нужный,«Смех и радость мы приносим людям!»,Россия
['https://go.utorr.cc/boevik/5178-dom-u-dorogi-2024.html'],Дом у дороги,"Джейк Джилленхол,  Даниэла Мелшиор,  Билли Магнуссен,  Конор Макгрегор,  Джессика Уильямс,  Жоакин де Алмейда,  Б.К. Кэннон,  Лукас Гейдж,  Дж.Д. Пардо,  Ханна Лав Ланье",,2024,"боевик,  драма,  криминал",Даг Лайман,,США
['https://go.utorr.cc/fantasy/5175-master-i-margarita-2023.html'],Мастер и Маргарита,"Аугуст Диль,  Юлия Снигирь,  Евгений Цыганов,  Клас Банг,  Юрий Колокольников,  Алексей Гуськов,  Кеша,  Юра Борисов,  Алексей Розин,  Данил Стеклов",,2023,"драма,  фэнтези",Михаил Локшин,,Россия
